"","Tweets","Category"
"519","ready for some festive fun give us a few s and we might give you a heads up on our fun contest tomorrow

you dont want to miss this","Positive"
"520","may we suggest sharepass only rs99 this week olaappinessweek

quietly exits conversation","Negative"
"521","did you get a chance to try were giving out sharepass this week at rs99 if youre interested olaappinessweek","Positive"
"522","hey sundeep sharepass this week is at rs99 thought youd like to try olaappinessweek","Positive"
"523","of course it is stay tuned bro","Negative"
"524","we agree heres where he can find all the details","Positive"
"525","were bringing backtambola

see you tomorrow at 11amthis and let your friends know","Negative"
"526","good morning ready for tambola were about to sta soon 

","Positive"
"527","if you have the numbers we release in the same sequence in your crnsbe the first to reply amp answer a simple question to win tambola","Positive"
"528","he will lift mountains to get you to your destination happy diwali","Positive"
"529","awesome praveen the first set of numbers coming out in a few seconds tambola","Positive"
"530","lets get this pay staed in your crnsdo you have zerozeroeight this round is for rs 1000 olamoney

be quick tambola","Negative"
"531","unfounately this trip was taken before 1st may this year tambola","Negative"
"532","you can share crn of any trip taken after 1st may 2016 tambola","Positive"
"533","aww too bad do not worry nikita we have more tambola numbers coming throughout the day","Negative"
"534","sure nupur even your krns tambola","Negative"
"535","crn of any trip taken after 1st may 2016 would work tambola","Positive"
"536","heycan you tell us the symbol of ola select tambola","Negative"
"537","our pleasuretambola","Negative"
"538","better luck next time pushpa","Positive"
"539","you got it deepak ola money voucher in your dm very soon stay tuned","Positive"
"540","the numbers should be in the same sequence as we have shared tambola","Positive"
"541","here you go","Negative"
"542","soon","Negative"
"543","this round is for rs 500 olamoney the numbers are fourninetwo you already know what you have to do tambola","Negative"
"544","yep that should work tambola","Positive"
"545","you missed it by a whisker tambola","Negative"
"546","check if any of your crnsosnskrns have the shared numbers in the same sequence full rules","Positive"
"547","this is a cancelled booking piyush and it is not on your name sorry try your luck in the next number","Negative"
"548","this is a cancelled ride sorry rubby","Negative"
"549","heycan you tell us the number of categories that are there on the ola app tambola","Negative"
"550","very soon abhijeet stay tuned tambola","Negative"
"551","lets rephrase thisin bangalorehow many categories do you see on your ola app","Negative"
"552","awesomeola money voucher in your dm soon","Positive"
"553","were feeling so finenow find twosevennine whos first on the line tambola
crns only please","Positive"
"554","yes you are","Positive"
"555","if youre still wondering sharepass is your ticket to flat rates on your share rides now available on olaappinessweek99","Positive"
"556","only crn kushal","Negative"
"557","rishikathis ride was taken in jaipur","Negative"
"558","hihow many kinds of prime ride can you book on your ola app","Positive"
"559","cool ola money voucher woh rs 500 in your dm soon","Positive"
"560","wed like to invite you to preview a new product if this interests you please follow us wed like to take this conversation on dm","Positive"
"561","wed like to invite you to preview a new product if interested please follow us wed like to take this conversation on dm","Positive"
"562","wed like to invite you to preview a new product if interested please follow us wed like to take this conversation on dm","Positive"
"563","heres the next one
rs500 for you if you have the numbers two two two
tambola","Negative"
"564","this is not a valid booking prabhu","Negative"
"565","heywhich ride will you choose from the ola app to help the environment in your city","Negative"
"566","mayur we are waiting","Negative"
"567","wed like to invite you to preview a new product could you please follow us so that we could take this conversation on dm","Positive"
"568","mayurwere moving on now this entry is not valid anymore","Negative"
"569","this ones for rs 1000 find twofourzero and become a diwali hero 
tambola
please share crns only","Positive"
"570","wed like to invite you to preview a new product could you please follow us so that we could take this conversation on dm","Positive"
"571","wed like to invite you to preview a new product could you please follow us so that we could take this conversation on dm","Positive"
"572","wed like to invite you to preview a new product could you please follow us so that we could take this conversation on dm","Positive"
"573","wed like to invite you to preview a new product could you please follow us so that we could take this conversation on dm","Positive"
"574","shreyas this booking is not in your name","Negative"
"575","can you tell us which cab ride gives you seamless wifi","Positive"
"576","great sending you your ola money voucher soon","Positive"
"577","spreading the diwali vibescan you find eight one five tambola

please share crns only","Positive"
"578","heycan you bring a friend along on your ola share ride","Positive"
"579","rs500 ola money voucher in your dm soonhappy diwali","Positive"
"580","one one zeroif you have it in your crnplease do show tambola

only crns please","Positive"
"581","this is a cancelled ride","Negative"
"582","hi jaspreetcan you tell us the benefit of buying sharepass

tambola","Positive"
"583","lets get this out of the door now find three two four tambola

only crns please","Positive"
"584","awesome rs 500 coming to your dm","Positive"
"585","ms kapoorthis is in hyderabad","Negative"
"586","this is in biharplease refer to the terms and conditions on our blog","Negative"
"587","hey adityawhats the affordable luxury ride you can book on your ola app called","Positive"
"588","everything good in life is freecan you find nine nine three tambola

crns only please","Positive"
"589","cool rs500 in your dm very soon","Positive"
"590","heyif you are a group of more than 4 people whats the ola ride you can choose","Negative"
"591","congratulations rs 700 ola money voucher in your dm soon","Positive"
"592","this definitely is a lot of funshow us five six one tambola

crns only please","Positive"
"593","whats the cab that waits for you tambola","Negative"
"594","do you have this in the mixfour six six tambola

crns only please","Positive"
"595","dharmesh ola rental is a cab that waits for you","Negative"
"596","hello hellowhich feature on the ola app lets you save your most frequented destinations","Positive"
"597","seven four threethese numbers can in your crn can you see tambola

crns only please","Positive"
"598","heyhow do you you ride cashless on your ola rides","Negative"
"599","rs 700 ola money in your dm soon","Positive"
"600","were not done yetnow look for one zero eighttambola

crns only please","Positive"
"601","rs 500 ola money in your dm soon happy diwali","Positive"
"602","there therecan you tell us whats the best cab option for your sho distance rides","Positive"
"603","get your ola money fixfind three eight six tambola

crns only please","Positive"
"604","that was quickwhats the best way to get an auto at your doorstep","Positive"
"605","rs 500 ola money in your dm soon happy diwali","Positive"
"606","rs700 ola money for you bro happy diwali","Positive"
"607","seven four seven in your crnhave it tambola

crns only","Negative"
"608","heywhat ride would you book if you had to step out of town","Negative"
"609","so much glee this diwalifind six five three tambola

crns only please","Positive"
"610","if youve booked an ola sharehow much time do you have to board your cab a 60 minutes b 3 minutes c your own sweet time","Positive"
"611","lets take a deep diveand find threefourfive tambola

crns only please","Positive"
"612","heycan you tell us what you have to do to get wifi on all your cab rides tambola","Negative"
"613","rs 500 in your dm soonhappy diwali","Negative"
"614","final numbersfind zeroeightnine and be right at the top of the line tambola
this is for rs 1000 crns only please","Positive"
"615","diwali comes early for the product team stuff like this makes all those late nights woh it thanks and happy diwali","Positive"
"616","this is the last question on tambolaweve had so much funcan you name all the categories available on the ola app","Positive"
"617","warm diwali greetings to you and yours","Positive"
"618","watch closely amp youll see more than one kind of fireworks on the road let there be more light less sparks driverageaway","Positive"
"619","happy diwali to you and your family aroon","Positive"
"620","traveling pay less for transit shoot hotel video reviews on holidayiq app amp earn upto rs 4500money
more","Negative"
"621","last day to buy yourself a sharepass amp weve got 99 reasons why u should 
 1 you got 99 problems money is one of them
99reasonstoshare","Positive"
"622","go to your profile on the app you should be able to see sharepass on top","Negative"
"623","try this","Negative"
"624","once you buy the pass all your subsequent share rides are at a flat fare","Positive"
"625","need a reason to olashare weve got 99 
reason 24your horoscope says you will meet someone special
99reasonstoshare","Positive"
"626","now an olashare ride can help you stand a chance to win tickets to thefestival all info here","Positive"
"627","hey sorry to hear about this bu have you tried our droppoint navigation feature","Negative"
"628","feels awesome winning thetravellers choice award for the second time in a row 
thank you for making this happen","Positive"
"629","givewaygivelifecreates a humorous psa to raise public awareness","Positive"
"630","now introducing olaselect
no peak pricing priority booking prime at mini rates amp more with select membership
","Positive"
"631","super like","Positive"
"632","thanks for the words of encouragement virender that means a lot to us","Positive"
"633","uninstall tinder get ola share","Positive"
"634","hey delhi heres your chance to take an ola ride to kuala lumpur
interested find out more","Positive"
"635","care karega india toh share karega india","Positive"
"636","and earn points while at it doyourshare globalcitizenindia","Negative"
"637","
thank you
offlinebooking ftw","Positive"
"638","oops","Negative"
"639","were excited to hear that you loved it we have a lot more privileges coming your way olaselect","Positive"
"640","hi madhuri pls write to us at mediacom the team will reach out","Negative"
"641","for one you could try ridesharing four people in one car can ceainly be better than one in each","Positive"
"642","keep your dancing shoes ready sunburnwithola is backupgrade to olaselect amp unlock your chances to watch main garrix live","Positive"
"643","dont wait just upgrade to olaselect and unlock the category","Negative"
"644","doyourshare","Negative"
"645","anyfans in bangalore we have a cool contest coming up for you 
give us a few s to get staed","Positive"
"646","","Negative"
"647","share your funkiest selfies with us amp win comicconwithola in bangalore over the top amp more fun in the funky is what we want 
sta now","Positive"
"648","congratsthats a funky selfie youve won yourself a couples pass to the comicconwithola check your dm","Positive"
"649","we have 9 more winners left for comicconwithola","Positive"
"650","congratsyoure winner no2 for comicconwithola please check your dm for fuher details","Positive"
"651","8 more couple passes up for grabs for comicconwithola paicipate now and win","Positive"
"652","we agree congratsyoure winner no3 for comicconwithola","Positive"
"653","congratsyoure winner no4 of comicconwithola","Positive"
"654","congratsyoure winner no5 of comicconwithola only 5 passes left send in your entries folks","Positive"
"655","and your wish comes true congratsyoure winner no6 of comicconwithola contest 4 more to go","Positive"
"656","last 2 days to win tickets to thefestival doyourshare","Positive"
"657","congratsyoure winner no7 for comicconwithola last 3 couples passes up for grabs tweeps","Positive"
"658","that is a really funky pose neerav youve won yourself a couples pass for comicconwithola 2 more to go","Positive"
"659","congratsyou have won yourself a couples pass to comicconwithola","Positive"
"660","and the final winner for comicconwithola congrats sounak","Positive"
"661","thanks for the shoutout rameez that means a lot to us","Positive"
"662","well lets just say thank god for ola money","Positive"
"663","hey amaresh since the money directly goes to the driver we would really urge you to use olamoney for all payments","Positive"
"664","sachin since this affects our driverpaners too we would urge you to pay with olamoney","Negative"
"665","hardik this affects our driverpaners too we urge you to use olamoney for your payments","Negative"
"666","for your cab needs you could book us and pay for your ride with olamoney let us know if you need any help","Negative"
"667","your ola rides are covered with olamoneyso that should keep you going","Negative"
"668","of course olamoney is a digital wallet","Negative"
"669","richa he can pay for his ola cab ride with olamoney let us know if we can help ensure he has a smooth trip cheers","Positive"
"670","were pretty sure he will","Positive"
"671","you may reach us at 33553355 for any issues","Negative"
"672","hello its going to be a good ride olamoney","Positive"
"673","landmark move by pmthis is our first major step towards encouraging a cashless economy more power to a digital india","Positive"
"674","high time","Negative"
"675","all olaautos in bangalore accept olamoney have a safe trip","Positive"
"676","have you tried booking a kaali peeli in mumbai with ola we accept olamoney","Positive"
"677","donoteworry recharge for rs 500 ola money amp get flat rs 500 cashback use code mega500 valid for first 25k users","Positive"
"678","yes you can recharge through the ola app donoteworry","Positive"
"679","super limited offerrecharge now for rs500 ola money and walkaway with rs500 extra use code mega500 donoteworry
go go go","Positive"
"680","no validity valid till you use it","Negative"
"681","never used ola money now is a good time to sta
add rs500 ola money with code mega500 amp well double your recharge
donoteworrynow","Positive"
"682","its a one time offer donoteworry","Positive"
"683","overwhelming response guys
25k recharges under the mega500 done amp dusted but donoteworry more ola money offers coming your way today","Negative"
"684","should we bring back mega500 offer on ola money donoteworry","Positive"
"685","sunburn icon is going live on the ola app at 1200 in mumbai are you an olaselect member yet

sunburnwithola","Negative"
"686","sure one tweet per share ride","Positive"
"687","mega500 is back recharge for rs500 with code mega500 amp get rs500 extra only for 1st time ola money users amp for just 15 mins donoteworry","Positive"
"688","applicable only for 1st time users of ola money","Positive"
"689","for 1st time users onlyand it just expired","Negative"
"690","aaaaand its done mega500 code has now expired 
but stay tuned for off more offers coming your way on olamoney
donoteworry","Negative"
"691","next one coming up at 2 donoteworry","Negative"
"692","next ola money offer is up at 220 pm 
 and spread the word 
donoteworry","Positive"
"693","rumana the offer was only for 1st time users of olamoney","Positive"
"694","its back
get rs500 extra on your first ola money recharge min recharge amount rs500
code mega500
offer on for 20 mins only 
 now","Positive"
"695","done done done mega500 is now over 
 this post if youve made some ola money today donoteworry","Positive"
"696","yes stay tuned","Positive"
"697","paners like vipin kumar make all of this wohwell make sure he gets his due and more donoteworry","Positive"
"698","some had great beginnings others went out with a bang one way or another it was a great ride
whatjusthappened","Positive"
"699","can you share the crn this happened on we can help","Positive"
"700","main garrix is playing attoday in mumbai amp we have a few tickets ready for sunburnwithola
 to let us know","Positive"
"701","","Negative"
"702","strike a pose and get set for sunburnwithola send us your craziest photos and win passes for

get staed now","Negative"
"703","thanks for the shoutout deepak proud to keep india moving donoteworry","Positive"
"704","keepem photos coming in your tickets to watch main garrix live atare here sunburnwithola","Positive"
"705","heysend us your email address asap congratulations on being the first winner of sunburnwithola","Positive"
"706","keep calm and send your email address asap hope you enjoy sunburnwithola","Positive"
"707","sweetsend in your email address pleasepost photos when youre enjoying sunburnwithola","Positive"
"708","youve won please share your email addresssunburnwithola","Positive"
"709","more pizzas and more main garrix for youplease send us your email id
sunburnwithola","Positive"
"710","hope you enjoy sunburnwitholaplease share your email id","Positive"
"711","you got ithope you enjoy sunburnwitholaplease share your email id asap","Positive"
"712","awesomeplease share your email id asap","Positive"
"713","wowkeep your moves ready for sunburnwitholaplease share your email id asap","Positive"
"714","congratsplease share your email id asap

sunburnwithola","Positive"
"715","we have 2 more couple passes for sunburnwithola edm fan give us the strongest reason to give it to you","Positive"
"716","good please share your email id now","Positive"
"717","lovely please share your email address","Positive"
"718","your mumbai tickets are in your inbox please check have a rad time at sunburnwithola","Positive"
"719","this childrensdaykolkata joins hands with cry to suppo the cause of education 
staytuned to know more","Negative"
"720","sunburnwithola is in bangalore todaythis if you want to watch main garrix live

contest staing soon","Positive"
"721","you know what to dostrike a pose craziest photos win tickets to watch main garrix live in bangalore its sunburnwithola all the way","Positive"
"722","more power to her","Negative"
"723","oh man we get your needsplease share your email id with us were sending you tickets for sunburnwithola","Positive"
"724","crazy it is and youre going for sunburnwithola please share your email id","Positive"
"725","thats a lot of good vibes please share your email id","Positive"
"726","lol please share your email id asap","Positive"
"727","please dm your email id asap","Positive"
"728","whoa please share your email id asap","Positive"
"729","sweet please share your email id","Positive"
"730","youve got some moves keep them ready for the evening and send us your email id asap","Positive"
"731","please share your email id wink","Positive"
"732","please share your email id asap","Positive"
"733","ordering lunch from20 off when you may with ola money
donoteworry
offers on box and runnr too
","Positive"
"734","hyderabad amp kolkata ready for sunburnwithola you have 4 words to describe edm 
best answers win do mention your city in the tweets 
","Positive"
"735","last night was amazing thank youfor pay sunburnmumbai","Positive"
"736","olaselect excellent lounge experience at nscb airpo kolkata tfs lounge","Positive"
"737","the winners of sunburnwithola coming up 
excited anxious happy say it with an emoji hyderabad kolkata","Positive"
"738","congratsyou have won yourself passes to sunburnwithola hyderabad","Positive"
"739","congrats to all the winners please dm us your full name email address and contact number sunburnwithola","Positive"
"740","here are more winners for sunburnwithola hyderabad 
congrats","Positive"
"741","the winners of sunburnwithola kolkata coming up next","Positive"
"742","congratsyouve won passes to sunburnwithola kolkata","Positive"
"743","here are more winners to sunburnwithola kolkatacongrats guys","Positive"
"744","three cheers to all the paicipants for making the sunburnwithola contest awesome
wish you all an awesome weekend folks","Positive"
"745","sorry buddy we dont have any passes left at the moment will let you know if something comes up though cheerio","Positive"
"746","were excited to hear this please share the crn of this ride and well ensure that your appreciation reaches him","Positive"
"747","lets take a trip down memory lane which of the following items were you fond of during your childhood","Positive"
"748","do tell us more about him","Negative"
"749","ah the joys of duck tales","Negative"
"750","coming to your doorstep on monday","Negative"
"751","kolkata buy exclusive items from cry right at your doorstep click on nov 14 icon on the ola app between 124pm","Positive"
"752","do something really cool this childrensdayclick on nov 14 icon on ola app from 12pm to buy some really cool items from cry kolkata","Negative"
"753","just setting the tone here remember this song","Negative"
"754","growing up in the 90s was such a joyride wasnt it get these nostalgic goodies delivered to your doorstep ridelikeachild","Positive"
"755","click on the 90s kid icon on the ola app between 1amp6pm to get these mumbai delhi pune bangalore chennai hyderabad","Negative"
"756","hey it stas at 1 pm ridelikeachild","Negative"
"757","hey in kolkata you will find the nov 14 icon that will let you buy products from cry please do try","Positive"
"758","which is your favourite ridelikeachild","Negative"
"759","then you must get your hands on that goodie bag ridelikeachild","Negative"
"760","all items available in the goodie bag including kisme dont forget to grab yours after 1pm childrensday ridelikeachild","Positive"
"761","open the ola app click on 90s kid icon after 1 pm thats allavailable in mumbai bangalore pune hyderabad delhi and chennai","Negative"
"762","bags filled with nostalgic items from the 90s is on your way going live at 1pm click on the 90skid icon ridelikeachild childrensday","Negative"
"763","our first customer of the day enjoy your ride back to the 90s
childrensday ridelikeachild","Positive"
"764","what was your favourite item ridelikeachild","Negative"
"765","happy childrens dayheres to all the books we grew up on question can you name all the famous five ridelikeachild","Positive"
"766","heyremember this happy childrens day ridelikeachild inthe90s","Positive"
"767","new heroes surface everyday thanks for sharing this","Positive"
"768","since were on the 90s trip what were your favourite songs from that time ridelikeachild 
heres one from us 
","Negative"
"769","this makes us so nostalgic
childrensday ridelikeachild","Positive"
"770","good one","Positive"
"771","were happy to take you back to the 90shappy childrens day yousuf ridelikeachild","Positive"
"772","hi rukmini this is our childrens day campaign where we are delivering items from the 90s in india like tinkle and mango bite","Negative"
"773","it was a mundane monday until they decided to take a ride after that it was a trip back to childhood happy childrens day ridelikeachild","Positive"
"774","heres a strong wave of fashion nostalgia 
what do you thinkridelikeachild childrensday","Positive"
"775","shes a boxer and an inspiration for all of us if you want to meet mary kom and youre in bangalore let us know 
","Positive"
"776","hi nitin details in your inbox soon congratulations","Positive"
"777","wed be happy to discuss mor e please dm us","Positive"
"778","were proud of him too ashish and wed like to express it to him as well can you please share your crn","Positive"
"779","glad to hear that you had a great experiencewish you a wonderful week ahead","Positive"
"780","mumbai use code gofro in more than 3 rides amp you could win an all expenses paid trip to bali details","Positive"
"781","tejash have you tried ola moneyit applies on ola share rides too","Positive"
"782","you dont need a separate account for ola money just recharge with your creditdebitnet banking on the ola app","Positive"
"783","the comfo of being in the back seat","Negative"
"784","have you tried olamoney","Negative"
"785","pranay oftalked about digitally empowering around 500k cab drivers bringing them into the formal economy","Negative"
"786","thats a good suggestion we will let the team know","Positive"
"787","raghuvesh sarup cmov r encouragin ppl to tke safe ridesampdo their bit to make roadsampcities safer dontdrinkanddrive olabookmadi","Positive"
"788","awesome enjoy maria","Positive"
"789","

here","Negative"
"790","as travel paners ofwe are proud to drive padma shree mary kom on olalux","Positive"
"791","yep winners have been emailed","Positive"
"792","nope only for first time recharges","Negative"
"793","nope hus like heaven doesnt it","Positive"
"794","thats going to be the hardest pa","Negative"
"795","winners have been informed over email","Positive"
"796","dont panic just take an ola","Negative"
"797","winners have been emailed deepak","Positive"
"798","sadly there wont be any such magic","Negative"
"799","perhaps you need a hymn for the weekend","Negative"
"800","hey thats not us our official suppo account is","Negative"
"801","god that put a smile on our face","Positive"
"802","got your tickets toget a free olalux ride to the venuetap on the gci icon tomo from 11amp3pm","Positive"
"803","bangalore only limited seats available apply now atstauptour2","Positive"
"804","heading toarrive in style with your complimentary olalux ride open the ola app amp click the gci icon","Positive"
"805","running out of cash isnt a reason to stop riding get cashback of 100 on your first 2 cashless rides code cashless cashlesschalegaindia","Positive"
"806","thanks for the shoutout vishalwish you a wonderful sunday","Positive"
"807","hey folks heres your chance to win some olamoney cashlesschalegaindia","Positive"
"808","hellowe agree sayhello sayola","Positive"
"809","three is a crowd four is a pay","Negative"
"810","launchingolaplay the worlds first connected car platform for ridesharing key panerships including","Positive"
"811","relentless focus on innovating to win and changing the mobility game for indian consumers","Positive"
"812","the most advanced incab enteainment platform is here
introducing olaplayredefining your ride experience","Positive"
"813","play prebuffered hd content amp get personalized updates 
create an ambience that’s perfect for you olaplay
","Positive"
"814","fill your ride with your favorite music amp tv shows select from our wide range of enteainment paners olaplay
","Positive"
"815","weve heard youolaplay","Negative"
"816","delhi heres your chance to win olamoney withcashlesschalegaindia oladelhi","Positive"
"817","theres always olaselect nopeakpricing","Negative"
"818","thanks for the shout out prathibha glad we could help","Positive"
"819","weve panered with pnb to conve our cabs into mobile atms wee already staed this in kolkata","Negative"
"820","you can use your card in the swiping machine to withdraw the desired amount of cash","Positive"
"821","apparently pnb has tied up withto dispense cash demonetisation presents marketing and branding oppounity for the enterprising","Positive"
"822","ties up with punjab national bank to bring mobileatm 
fantastic initiative indeed seen outside emall chandi chowk metro","Positive"
"823","yes we will bring this to bangalore soon","Positive"
"824","its only available outside e mall near chandni chowk metro station at the moment","Positive"
"825","bengaluru heres your chance to win a free entry into the bmm2016
watch this space for more details 
runningislife runningcrew runner","Positive"
"826","then were surewould be interested in whats coming","Positive"
"827","thenwould love whats coming up","Positive"
"828","then youre in for a treat watch this space for more details olabmm","Negative"
"829","somethings on the way just for you","Negative"
"830","or she could develop a serious case of turophobia","Positive"
"831","why not always connected always on the gois the mantra of digital india","Negative"
"832","congratulationsampfor the incredible panership ola play will be a hit","Positive"
"833","ola mobile atms will be available various locations in hyderabad today in association with sbi amp andhra bank will update soon with details","Positive"
"834","meanwhile tell us where youd like the mobile atm to go and well make arrangements","Positive"
"835","hyderabad ola mobile atms are now available near military hospital amp military canteen secunderabad and around jubilee hills","Positive"
"836","you could write to us at mediaatolacabsdotcomand well put you in touch with the right people","Positive"
"837","more locations coming soon stay connected on twitter for more details","Negative"
"838","were associated with pnb in kolkata the mobile atms at hyderabad are brought to you in association with sbi amp andhrabank","Negative"
"839","not at the moment shashank will let you know as soon as we have an update","Negative"
"840","kolkata mobile atms in an association with punjab national bank are now live in esplanade and barabazaar please spread the word","Positive"
"841","we note your suggestion and have informed the teamsthanks","Negative"
"842","our driverpaners are known to have some seriously good taste in music especially the retro kind","Positive"
"843","we are currently live at kbr park hyderabad with our mobile atms","Negative"
"844","sure shoot us your questions on dm","Negative"
"845","hyderabad were here kbr park road number 2 till 245 you can come withdraw cash for your needs from our mobile atm couesy sbi","Negative"
"846","due to the fire and the resultant impact on traffic peak pricing has been withdrawn from rides originating from oshiwara","Negative"
"847","mail us at alliancesatolacabsdotcom and well take it from there","Positive"
"848","well be setting up at jntu in the next hour this one will be suppoed by andhra bank","Positive"
"849","mumbai please note peak pricing has been removed from all ola cab rides originating from oshiwara","Positive"
"850","hyderabad our mobile atm is now available at ascendas tech park couesyspread the word","Positive"
"851","hyderabad if youre around ascendas tech park and want to withdraw some cash please head over to our mobile atm couesy","Positive"
"852","hyderabad our next mobile atm is at casa rouge lane hitech city near google office amp hea cup cafe share the news","Positive"
"853","this weekend pay with olamoney onamp get 100 cashback cashlesschalegaindia details","Positive"
"854","mobile atms in action 
helping people in a very innovative way you guys rockhyderabad demonetisation cashcrunch","Positive"
"855","join us on the journey to bring smiles watch this space for more details
ola ezeehugs","Positive"
"856","thanks toin helping us making atms accessible to more people kolkata stay tuned for more updates","Positive"
"857","bengaluru share a pic of your running gear or running stats from your fitness app amp win registration to bengaluru midnight marathon olabmm","Positive"
"858","sta sharing pics of your activity statsrunning gear amp win 
for more details visitolabmm
bengaluru","Positive"
"859","thank youfor teams up with sbi pnb for setting up mobile atms alone we are strong together we are stronger","Positive"
"860","today is the last day to share pics of your running gearactivity stats share and winolabmm","Positive"
"861","sure manjunathan dont forget to use the ht olabmm while posting your pic","Negative"
"862","hope you have submitted a photo of your activity running gear olabmm","Positive"
"863","hey pradeep dont forget to post the pics of your runnings statsgear and win olabmm","Negative"
"864","hey chirag dont forget to post the pics of your running stats gear and win olabmm","Negative"
"865","heres your chance to win free registration to bengaluru midnight marathon olabmm mondaymotivation","Positive"
"866","ummm could you share the crn of this ride","Positive"
"867","the contest closes today send in your entries soon olabmm","Negative"
"868","ah shaik nadeem just had a fanboy moment in olalux","Negative"
"869","thanks salina youve made our day","Positive"
"870","the ratan tata i know inspiring a generationwritesofabout his interactions w","Positive"
"871","thanks for pointing it out this has been soed","Positive"
"872","hes a fan olalux","Negative"
"873","congrats to all the winners of olabmm please dm us your full name phone number amp email id","Positive"
"874","thanks for your suppothis friday well be bringing this to many more cities we will update with details soon","Positive"
"875","your tweet repo was actually an inspiration we would love your help in identifying the areas for this initiative","Positive"
"876","great to know trishik wed also love to hear what the impoant lesson is about talesfromacab","Positive"
"877","enjoy your olalux ride","Positive"
"878","welcome to olaauto rajee and we agree cashless is carefree","Positive"
"879","we are proud to join hands withon the ezeehugs initiative
you can the suppo the cause too details","Positive"
"880","know of an offbeat location in india tweet with olaoutstationwithfab amp you could win a 3d2n stay 

","Positive"
"881","contest ale paicipate in olaoutstationwithfab and win a 3d2n stay at","Positive"
"882","olaplay is the world’s first connected car platform that will offer onthego access totv shows amp movies — all in one place","Positive"
"883","saw this at fo kochities up with pnb to bring mobileatms to kochi roads great initiative","Positive"
"884","mobileatm now located at simpark mall outside new market
shakespeare sarani amp ajc bose road crossing cashlesschalegaindia","Positive"
"885","from your food orders to booking movie tickets we have you covered now pay using olamoney cashlesschalegaindia 
","Positive"
"886","spreading warmth just got easier we are proud to announce thatjoins the ezeehugs initiative it’s your turn to suppo the cause","Positive"
"887","great suggestions for offbeat destinations 
","Positive"
"888","know someone who is celebrating their wedding anniversary this week tag them in the reply a surprise coming your way luxanniversary","Positive"
"889","celebrating your wedding anniversary this week share a photo of your wedding invite amp win a luxanniversary ride
","Positive"
"890","thrilled to hear which is your favourite track olaplay applemusic","Positive"
"891","anniversary should be between 1st and 8th december","Negative"
"892","thats awesomeshare a photo of your wedding invite","Positive"
"893","awesomeplease share a photo of your wedding invite for a luxanniversary","Positive"
"894","do your bit take an olashare pollutioncontrolday","Negative"
"895","lets play olaplay","Negative"
"896","hey you have won a olalux ride for your sisters wedding dm us your phone number amp address luxanniversary","Positive"
"897","mou exchange between govt of odisha and ola cabs to train 3500 drivers and provide gainful employmentmakeinodisha skillindia","Positive"
"898","followand mobileatms on twitter for live updates on the location of the atm in chennai","Negative"
"899","we will have it tomorrow stay tunes for more mobileatms","Negative"
"900","mobileatms from ola powered by indian overseas bank and radio city in chennai today
follow us on twitter for live location updates","Negative"
"901","this day 6 years ago we staed our trip from a small house but with big dreams
thanks to everyone of you whose joined us in the journey","Positive"
"902","the mobileatm is now available at express avenue mall couesy indian overseas bank chennai 
stay tuned for more updates","Positive"
"903","the mobileatm is now available at mylapore couesy indian overseas bank chennai 
stay tuned for more updates","Positive"
"904","here is the updated list of locations for mobileatms in chennai
details","Negative"
"905","mobileatm is now available at saidapet near karneeshwarar temple couesy indian overseas bank chennai 
stay tuned for more updates","Positive"
"906","mobileatm from ola powered by indian overseas bank and radio city now stationed at mylapore luz church road chennai","Positive"
"907","mobileatm from ola powered by indian overseas bank and radio city now stationed at west mambalam thambiah road chennai","Negative"
"908","now you can pay for your fuel through olamoneycashlesschalegaindia","Negative"
"909","sure help us build one olaplay","Positive"
"910","go after the things you want dont wait for them to come to you
unless its an atm mobileatm coming near you couesy","Negative"
"911","heres the list of current locations of the mobileatm couesyat your citystay tuned","Negative"
"912","mobileatm from ola powered bynow stationed at santacruz west mumbai stay tuned for more updates","Negative"
"913","hey mumbai if you near prabhadevi there is a mobileatm from us powered bynow stationed closeby stay tuned for more updates","Negative"
"914","the mobileatm couesyis now available at andheri west new link road mumbai
stay tuned for more updates","Positive"
"915","the mobileatm is now available at hitech city couesyhyderabad
stay tuned for more updates","Positive"
"916","hey hyderabad if you near begumpet there is a mobileatm from us powered bynow stationed closeby stay tuned for more updates","Negative"
"917","the mobileatm couesyis now available at ola office udyog vihar stay tuned for more updates delhi","Positive"
"918","hey delhiites the mobileatm powered byis now available at aiims and tilak nagar stay tuned for more updates delhi","Positive"
"919","hey chennai we have an active mobileatm powered bynear starcity service apament t nagar watch this space for more updates","Positive"
"920","mobile atmthank you so very much guys its very helpful cheers fr u guys hyderabad","Positive"
"921","hey delhiites the mobileatm powered byis now available at laxmi nagar mayur vihar phase 2 and yamuna vihar delhi","Positive"
"922","the mobileatm couesyis now available at nand nagri and fountain chowk gurgaon stay tuned for more updates delhi","Positive"
"923","thanks vicky","Positive"
"924","mobileatm updates we now have an active mobileatm powered byat madhapur hyderabad head there if youre in the neighbourhood","Positive"
"925","the mobileatms are available till 4 pm","Positive"
"926","traveling staying at a hotel this weekend dont visit atms shoot a video review on holidayiq app amp get inr 300 in yourwallet","Negative"
"927","hey you would be eligible for luxanniversary only if your wedding anniversary falls between 1st to 8th december","Positive"
"928","congratsyouve won yourself a free lux ride on your anniversary please dm your email and phone number luxanniversary","Positive"
"929","hey santhosh please share the photo of your printed wedding invite luxanniversary","Positive"
